Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
INV-00272,C,Naypyitaw,Member,Female,Fashion accessories,63.35,6,19.005,399.105,2023-05-08,10:18,Ewallet,380.1,4.7619047619,19.005,8.0
INV-00372,A,Yangon,Member,Male,Food and beverages,50.61,7,17.7135,371.9835,2023-10-03,15:23,Ewallet,354.27,4.7619047619,17.7135,6.0
INV-00163,B,Mandalay,Normal,,,72.52,9,32.634,685.314,2023-01-02,14:04,Cash,652.68,4.7619047619,32.634,7.0
INV-00555,C,Naypyitaw,Normal,Male,Health and beauty,71.24,1,3.562,74.80199999999999,2023-06-04,12:26,Credit card,71.24,4.7619047619,3.562,4.9
INV-01081,C,Naypyitaw,Member,F,Electronic accessories,41.16,5,10.29,216.08999999999997,2023-01-01,15:22,Cash,205.79999999999998,4.7619047619,10.29,8.8
INV-00507,C,Naypyitaw,Normal,Male,Food and beverages,33.02,3,4.953,104.013,2023-08-11,16:32,Ewallet,99.06,4.7619047619,4.953,6.4
INV-01484,A,Yangon,Normal,Female,Home and lifestyle,93.67,6,28.101,590.121,2023-10-31,13:01,Cash,562.02,4.7619047619,28.101,
INV-00469,A,Yangon,Member,,Food and beverages,72.94,2,7.294,153.174,2023-05-17,15:32,Credit card,145.88,4.7619047619,7.294,
INV-00185,A,Yangon,Normal,Female,Health and beauty,36.83,5,9.2075,193.3575,2023-02-27,16:49,Cash,184.14999999999998,4.7619047619,9.2075,4.1
INV-00644,B,Mandalay,Normal,Female,Home and lifestyle,518.6367807162233,8,37.568,5056.236696657552,2023-11-17,13:11,Ewallet,751.36,4.7619047619,37.568,9.2
INV-00332,C,Naypyitaw,Normal,M,Food and beverages,32.27,3,4.8405,101.65050000000001,2023-02-05,10:55,Credit card,96.81,4.7619047619,4.8405,6.8
INV-00495,B,Mandalay,Member,male,Health and beauty,21.28,9,9.576,201.096,2023-12-14,17:18,Ewallet,191.52,4.7619047619,9.576,4.6
INV-01101,A, Yangon ,Normal,Male,Electronic accessories,47.72,7,16.702,350.74199999999996,2023-12-24,12:31,Cash,334.03999999999996,4.7619047619,16.702,6.8
INV-00260,A,Yangon,Member,Female,Food and beverages,13.43,5,3.3575,70.50750000000001,2023-08-05,17:56,Cash,67.15,4.7619047619,3.3575,
INV-00275,B,Mandalay,Normal,Male,Food and beverages,89.09,4,17.818,374.178,2023-10-02,17:28,Cash,356.36,4.7619047619,17.818,4.2
INV-01170,A,Yangon,Normal,Male,Sports and travel,29.36,6,8.808,184.968,2023-01-23,11:25,Ewallet,176.16,4.7619047619,8.808,6.9
INV-00637,B,Mandalay,Member,Female,Home and lifestyle,67.24,4,13.448,282.40799999999996,2023-08-19,12:46,Ewallet,268.96,4.7619047619,13.448,8.2
INV-00848,C,Naypyitaw,Normal,Male,Health and beauty,71.99,1,3.5995,75.5895,2023-07-28,10:26,Cash,71.99,4.7619047619,3.5995,7.3
INV-00965,A,Yangon,Normal,Female,Home and lifestyle,87.13,1,4.3565,91.48649999999999,2023-04-17,14:26,Ewallet,87.13,4.7619047619,4.3565,
INV-00125,A, Yangon ,Member,male,Health and beauty,38.64,8,15.456,324.576,2023-08-08,16:37,Ewallet,309.12,4.7619047619,15.456,
INV-00439,C,Naypyitaw,Member,Female,,70.82,3,10.623,223.08299999999997,2023-10-26,18:41,Ewallet,212.45999999999998,4.7619047619,10.623,
INV-01262,C,Naypyitaw,Normal,Female,Sports and travel,14.72,7,5.152,108.19200000000001,2023-12-08,15:08,Cash,103.04,4.7619047619,5.152,8.7
INV-01220,A,Yangon,Normal,F,Home and lifestyle,37.96,4,7.592,159.43200000000002,2023-02-16,12:30,Ewallet,151.84,4.7619047619,7.592,7.6
INV-01496,B,Mandalay,Member,Female,Health and beauty,90.98,8,36.392,764.2320000000001,2023-01-16,15:04,Credit card,727.84,4.7619047619,36.392,6.6
INV-01256,B,Mandalay,Normal,male,Home and lifestyle,16.78,2,1.678,35.238,2023-04-29,13:31,Cash,33.56,4.7619047619,1.678,6.8
INV-00340,A,Yangon,Member,Male,Food and beverages,84.24,4,16.848,353.808,2023-05-07,17:23,Ewallet,336.96,4.7619047619,16.848,5.4
INV-00585,B,Mandalay,Member,F,Sports and travel,78.87,5,19.7175,414.0675,2023-12-11,16:52,Credit card,394.35,4.7619047619,19.7175,8.2
INV-01348,B,Mandalay,Normal,male,Home and lifestyle,83.55,3,12.5325,263.1825,2023-12-13,14:47,Ewallet,250.64999999999998,4.7619047619,12.5325,6.2
INV-00024,B,Mandalay,Normal,M,Food and beverages,50.18,9,22.581,474.201,2023-11-29,11:20,Credit card,451.62,4.7619047619,22.581,7.2
INV-00977,B,Mandalay,Member,Male,Sports and travel,85.79,10,42.895,900.7950000000001,2023-01-02,15:27,Cash,857.9000000000001,4.7619047619,42.895,6.5
INV-00204,C,Naypyitaw,Member,Male,Electronic accessories,22.21,10,11.105,233.205,2023-09-28,18:24,Cash,222.10000000000002,4.7619047619,11.105,5.9
INV-00417,A, Yangon ,Normal,M,Home and lifestyle,85.94,2,8.594,180.474,2023-08-05,20:04,Ewallet,171.88,4.7619047619,8.594,9.9
INV-00050,A,Yangon,Normal,female,Sports and travel,23.66,8,9.464,198.744,2023-08-24,18:23,Cash,189.28,4.7619047619,9.464,4.5
INV-00909,A,Yangon,Member,Male,,53.86,6,16.158,339.318,2023-05-21,16:43,Cash,323.15999999999997,4.7619047619,16.158,9.4
INV-00971,B,Mandalay,Normal,Male,Sports and travel,37.85,1,1.8925,39.7425,2023-03-22,13:29,Credit card,37.85,4.7619047619,1.8925,6.7
INV-00745,A,Yangon,Member,Male,Food and beverages,45.88,6,13.764,289.04400000000004,2023-11-15,10:15,Credit card,275.28000000000003,4.7619047619,13.764,4.8
INV-00298,A, Yangon ,Normal,Female,Electronic accessories,52.26,3,7.839,164.619,2023-07-25,11:33,Ewallet,156.78,4.7619047619,7.839,8.1
INV-01498,B,Mandalay,Normal,Female,Home and lifestyle,49.48,10,24.74,519.54,2023-09-03,20:25,Credit card,494.79999999999995,4.7619047619,24.74,4.7
INV-00434,A,Yangon,Member,Female,Fashion accessories,26.31,7,9.2085,193.37849999999997,2023-12-20,13:40,Credit card,184.17,4.7619047619,9.2085,5.0
INV-00716,C, Naypyitaw ,Normal,,Sports and travel,31.8,10,15.9,333.9,2023-08-25,14:26,Credit card,318.0,4.7619047619,15.9,7.0
INV-00487,A,Yangon,Normal,Male,Electronic accessories,38.68,6,11.604,243.68399999999997,2023-06-18,10:05,Credit card,232.07999999999998,4.7619047619,11.604,8.8
INV-00124,A, Yangon ,Member,,Electronic accessories,54.91,4,10.982,230.62199999999999,2023-10-27,11:15,Ewallet,219.64,4.7619047619,10.982,5.5
INV-00629,A,Yangon,Normal,Male,Home and lifestyle,37.64,5,9.41,197.60999999999999,2023-08-15,15:18,Ewallet,188.2,4.7619047619,9.41,7.6
INV-00842,B,Mandalay,Member,,Electronic accessories,83.83,4,16.766,352.086,2023-10-12,12:58,Cash,335.32,4.7619047619,16.766,6.7
INV-01275,B, Mandalay ,Member,Male,Food and beverages,26.99,9,12.1455,255.0555,2023-08-06,18:49,Credit card,242.91,4.7619047619,12.1455,9.1
INV-00199,C,Naypyitaw,Member,Female,Electronic accessories,63.87,8,25.548,536.5079999999999,2023-12-04,15:19,Cash,510.96,4.7619047619,25.548,9.3
INV-00200,C,Naypyitaw,Normal,Female,Health and beauty,68.77,6,20.631,433.251,2023-09-01,20:44,Ewallet,412.62,4.7619047619,20.631,4.6
INV-01122,C,Naypyitaw,Member,Female,Food and beverages,77.16,6,23.148,486.108,2023/09/13,17:35,Ewallet,462.96,4.7619047619,23.148,6.5
INV-00584,B,Mandalay,Normal,,Health and beauty,39.14,5,9.785,205.48499999999999,2023-05-01,16:57,Ewallet,195.7,4.7619047619,9.785,7.7
INV-01050,A,Yangon,Normal,Female,Sports and travel,66.12,6,19.836,416.55600000000004,2023-04-03,15:41,Credit card,396.72,4.7619047619,19.836,6.3
INV-00731,A,Yangon,Normal,male,Food and beverages,71.79,4,14.358,301.51800000000003,2023-08-29,12:46,Credit card,287.16,4.7619047619,14.358,4.3
INV-00100,A,Yangon,Member,Male,Sports and travel,75.42,3,11.313,237.57299999999998,2023-06-16,14:18,Ewallet,226.26,4.7619047619,11.313,9.7
INV-01010,B,Mandalay,Normal,F,Food and beverages,83.04,1,4.152,87.19200000000001,2023-06-07,16:34,Ewallet,83.04,4.7619047619,4.152,7.1
INV-00052,C, Naypyitaw ,Member,M,Electronic accessories,94.95,1,4.7475,99.6975,2023-03-05,14:36,Ewallet,94.95,4.7619047619,4.7475,9.5
INV-00071,C,Naypyitaw,Member,Female,Sports and travel,26.51,3,3.9765,83.5065,2023-07-14,18:13,Ewallet,79.53,4.7619047619,3.9765,8.5
INV-00622,A,Yangon,Normal,Female,Home and lifestyle,82.29,3,12.3435,259.2135,2023-03-10,10:53,Ewallet,246.87,4.7619047619,12.3435,5.1
INV-00077,C,Naypyitaw,Normal,Male,Home and lifestyle,82.61,2,8.261,173.481,2023-07-09,19:38,Ewallet,165.22,4.7619047619,8.261,4.5
INV-00987,B,Mandalay,Normal,Female,,71.23,4,14.246,299.166,2023-12-28,13:20,Cash,284.92,4.7619047619,14.246,4.8
INV-00515,A,Yangon,Normal,Male,Fashion accessories,63.07,3,9.4605,198.6705,2023-10-23,15:48,Ewallet,189.21,4.7619047619,9.4605,4.4
INV-00142,A,Yangon,Member,Male,Food and beverages,44.56,6,13.368,280.728,2023-02-02,20:04,Ewallet,267.36,4.7619047619,13.368,9.7
INV-00271,C,Naypyitaw,Member,F,,71.06,2,7.106,149.226,2023-02-25,12:08,Credit card,142.12,4.7619047619,7.106,7.2
INV-00908,B,Mandalay,Member,Female,,17.84,7,6.244,131.124,2023-03-06,13:36,Cash,124.88,4.7619047619,6.244,6.4
INV-00240,A,Yangon,Member,Female,Home and lifestyle,50.69,4,10.138,212.898,2023-09-21,20:36,Cash,202.76,4.7619047619,10.138,9.6
INV-01402,A,Yangon,Member,Female,Electronic accessories,56.27,1,2.8135,59.0835,2023-10-04,11:45,Ewallet,56.27,4.7619047619,2.8135,6.4
INV-00988,B, Mandalay ,Member,Male,Electronic accessories,34.67,2,3.467,72.807,2023-05-25,16:17,Ewallet,69.34,4.7619047619,3.467,7.0
INV-00758,B,Mandalay,Normal,,Health and beauty,22.33,10,11.165,234.46499999999997,2023-03-27,19:38,Cash,223.29999999999998,4.7619047619,11.165,
INV-00221,B,mandalay,Normal,Male,Health and beauty,93.76,2,9.376,196.89600000000002,2023-04-26,18:53,Cash,187.52,4.7619047619,9.376,10.0
INV-01099,C,Naypyitaw,Normal,,Food and beverages,25.28,7,8.848,185.80800000000002,2023-05-28,20:59,Credit card,176.96,4.7619047619,8.848,8.0
INV-00708,C,Naypyitaw,Normal,Male,Fashion accessories,84.0,2,8.4,176.4,2023-10-31,10:47,Ewallet,168.0,4.7619047619,8.4,
INV-00186,B,Mandalay,Normal,male,Food and beverages,35.01,4,7.002,147.042,2023-07-05,15:43,Cash,140.04,4.7619047619,7.002,9.0
INV-01092,B,Mandalay,Member,male,Home and lifestyle,35.61,9,16.0245,336.5145,2023-11-17,12:32,Ewallet,320.49,4.7619047619,16.0245,9.8
INV-00661,B,Mandalay,Normal,female,Food and beverages,66.67,5,16.6675,350.01750000000004,2023-03-20,15:44,Credit card,333.35,4.7619047619,16.6675,8.5
INV-00317,B,Mandalay,Normal,Female,,51.34,4,10.268,215.62800000000001,2023-10-24,20:29,Credit card,205.36,4.7619047619,10.268,8.1
INV-01260,B,Mandalay,Member,F,Home and lifestyle,51.11,9,22.9995,482.9895,2023-08-24,11:33,Ewallet,459.99,4.7619047619,22.9995,5.8
INV-00817,B,Mandalay,Member,,Fashion accessories,26.74,6,8.022,168.462,2023-06-15,11:51,Credit card,160.44,4.7619047619,8.022,
INV-01118,C,Naypyitaw,Member,,,45.47,8,18.188,381.948,2023-08-25,10:17,Credit card,363.76,4.7619047619,18.188,6.9
INV-00694,A,Yangon,Normal,Female,Sports and travel,69.47,7,24.3145,510.6045,2023-09-06,11:43,Cash,486.28999999999996,4.7619047619,24.3145,
INV-00136,B, Mandalay ,Member,Female,Fashion accessories,83.37,5,20.8425,437.6925,2023-03-20,20:52,Ewallet,416.85,4.7619047619,20.8425,6.1
INV-00715,B,Mandalay,Member,Female,Electronic accessories,37.69,5,9.4225,197.8725,2023-03-11,17:02,Credit card,188.45,4.7619047619,9.4225,9.7
INV-00820,B,Mandalay,Member,Female,Sports and travel,33.48,2,3.348,70.30799999999999,2023-05-23,13:23,Cash,66.96,4.7619047619,3.348,4.9
INV-00673,A,Yangon,Member,Female,Home and lifestyle,25.07,7,8.7745,184.2645,2023-08-04,17:47,Ewallet,175.49,4.7619047619,8.7745,
INV-00484,B,Mandalay,Member,Female,Home and lifestyle,91.72,10,45.86,963.0600000000001,2023-12-04,18:29,Ewallet,917.2,4.7619047619,45.86,6.6
INV-00293,C,Naypyitaw,Member,Female,Home and lifestyle,98.9,3,14.835,311.535,2023-03-27,16:00,Cash,296.70000000000005,4.7619047619,14.835,8.5
INV-00068,C,Naypyitaw,Member,Male,Food and beverages,73.12,6,21.936,460.656,2023-02-10,11:09,Ewallet,438.72,4.7619047619,21.936,4.8
INV-00382,B,Mandalay,Normal,M,Food and beverages,24.95,10,12.475,261.975,2023-03-22,18:07,Credit card,249.5,4.7619047619,12.475,6.9
INV-00652,B,Mandalay,Member,Female,Home and lifestyle,22.53,8,9.012,189.252,2023-06-21,12:30,Credit card,180.24,4.7619047619,9.012,9.6
INV-00781,B,Mandalay,Normal,Female,Electronic accessories,11.87,3,1.7805,37.3905,2023-12-17,17:58,Credit card,35.61,4.7619047619,1.7805,5.5
INV-01209,A,Yangon,Normal,Female,Health and beauty,40.51,5,10.1275,212.67749999999998,2023-11-17,20:05,Credit card,202.54999999999998,4.7619047619,10.1275,7.0
INV-00707,B,Mandalay,Member,Male,Sports and travel,35.33,5,8.8325,185.4825,2023-07-21,14:52,Credit card,176.64999999999998,4.7619047619,8.8325,4.5
INV-01417,A,Yangon,Member,Male,,71.85,8,28.74,603.54,2023-08-16,16:23,Credit card,574.8,4.7619047619,28.74,8.8
INV-01357,C,Naypyitaw,Normal,Female,Home and lifestyle,40.42,5,10.105,212.205,2023-10-02,13:34,Cash,202.10000000000002,4.7619047619,10.105,5.9
INV-00865,B,mandalay,Normal,Female,Sports and travel,47.18,2,4.718,99.078,2023-06-06,14:01,Ewallet,94.36,4.7619047619,4.718,4.6
INV-01176,B,Mandalay,Member,Male,Sports and travel,37.93,7,13.2755,278.7855,2023-12-06,11:46,Cash,265.51,4.7619047619,13.2755,
INV-00414,B,Mandalay,Normal,Male,Home and lifestyle,49.33,5,12.3325,258.98249999999996,2023-01-27,16:52,Ewallet,246.64999999999998,4.7619047619,12.3325,6.6
INV-01095,A,Yangon,Normal,Female,Health and beauty,71.67,7,25.0845,526.7745,2023-04-15,19:24,Credit card,501.69,4.7619047619,25.0845,6.0
INV-01290,A,Yangon,Normal,female,Electronic accessories,360.2710462465072,1,2.6935,627.4658016692372,2023-12-25,16:46,Cash,53.87,4.7619047619,2.6935,6.6
INV-00030,A,Yangon,Member,Male,Home and lifestyle,48.67,8,19.468,408.82800000000003,2023-10-29,11:53,Credit card,389.36,4.7619047619,19.468,4.4
INV-00895,B,Mandalay,Normal,F,Food and beverages,63.94,5,15.985,335.685,2023-09-26,19:30,Ewallet,319.7,4.7619047619,15.985,4.4
INV-00721,C,Naypyitaw,Member,Female,Sports and travel,77.44,8,30.976,650.496,2023-06-17,15:57,Credit card,619.52,4.7619047619,30.976,5.3
INV-00440,A,Yangon,Member,Female,Food and beverages,65.67,1,3.2835,68.9535,2023-10-10,12:37,Credit card,65.67,4.7619047619,3.2835,5.7
INV-00577,A,Yangon,Normal,Female,Sports and travel,45.85,7,16.0475,336.9975,2023-05-26,13:44,Ewallet,320.95,4.7619047619,16.0475,
INV-01098,A,Yangon,Normal,Female,,33.87,3,5.0805,106.69049999999999,2023-03-09,18:44,Cash,101.60999999999999,4.7619047619,5.0805,
INV-01492,B,Mandalay,Member,Male,Fashion accessories,24.72,10,12.36,259.56,2023-09-24,19:45,Credit card,247.2,4.7619047619,12.36,5.4
INV-01409,B,Mandalay,Normal,Male,Home and lifestyle,86.5,7,30.275,635.775,2023-09-08,17:35,Cash,605.5,4.7619047619,30.275,8.2
INV-01339,A, Yangon ,Normal,female,Health and beauty,86.05,4,17.21,361.40999999999997,2023-05-12,18:02,Ewallet,344.2,4.7619047619,17.21,
INV-01383,C,Naypyitaw,Member,F,Fashion accessories,56.26,9,25.317,531.6569999999999,2023-06-04,15:20,Credit card,506.34,4.7619047619,25.317,7.0
INV-00803,B,Mandalay,Normal,Female,Sports and travel,77.91,6,23.373,490.83299999999997,2023-12-29,13:47,Ewallet,467.46,4.7619047619,23.373,
INV-00995,B,Mandalay,Normal,Male,Health and beauty,56.63,8,22.652,475.692,2023-11-17,17:45,Credit card,453.04,4.7619047619,22.652,4.9
INV-01263,B,Mandalay,Member,Male,Sports and travel,50.52,4,10.104,212.18400000000003,2023-01-05,16:55,Ewallet,202.08,4.7619047619,10.104,9.6
INV-00426,B,Mandalay,Normal,F,Health and beauty,11.5,8,4.6,96.6,2023-08-15,11:33,Ewallet,92.0,4.7619047619,4.6,7.0
INV-00902,A,Yangon,Member,F,Health and beauty,62.11,2,6.211,130.431,2023-07-04,15:01,Ewallet,124.22,4.7619047619,6.211,
INV-00846,B,Mandalay,Normal,Female,Electronic accessories,65.73,1,3.2865,69.01650000000001,2023-02-13,11:52,Cash,65.73,4.7619047619,3.2865,9.5
INV-00412,C, Naypyitaw ,Member,Male,Home and lifestyle,39.88,4,7.976,167.496,2023-09-08,17:33,Cash,159.52,4.7619047619,7.976,4.5
INV-00768,C,Naypyitaw,Member,Male,Fashion accessories,76.37,3,11.4555,240.56550000000001,2023-10-22,20:27,Ewallet,229.11,4.7619047619,11.4555,8.2
INV-00744,B,Mandalay,Member,Male,Sports and travel,89.79,5,22.4475,471.39750000000004,2023-01-11,19:49,Credit card,448.95000000000005,4.7619047619,22.4475,5.9
INV-00290,B,Mandalay,Normal,Male,Sports and travel,27.57,10,13.785,289.485,2023-01-08,20:32,Ewallet,275.7,4.7619047619,13.785,7.1
INV-00307,B,Mandalay,Normal,Male,Health and beauty,88.65,10,44.325,930.825,2023-08-05,10:22,Cash,886.5,4.7619047619,44.325,5.4
INV-00528,A,Yangon,Normal,Male,Electronic accessories,37.79,9,17.0055,357.1155,2023-08-09,12:25,Ewallet,340.11,4.7619047619,17.0055,4.1
INV-00529,A,Yangon,Normal,Female,Sports and travel,36.42,2,3.642,76.482,2023-02-05,19:47,Ewallet,72.84,4.7619047619,3.642,7.3
INV-00463,C,Naypyitaw,Normal,Female,Food and beverages,30.21,1,1.5105,31.7205,2023-01-13,13:21,Credit card,30.21,4.7619047619,1.5105,9.5
INV-01058,B,Mandalay,Member,Female,Electronic accessories,52.78,10,26.39,554.1899999999999,2023-07-29,16:40,Credit card,527.8,4.7619047619,26.39,6.6
INV-01236,B,mandalay,Normal,Male,Health and beauty,20.0,7,7.0,147.0,2023-07-11,16:39,Cash,140.0,4.7619047619,7.0,7.2
INV-00614,A,Yangon,Member,,Home and lifestyle,50.09,9,22.5405,473.35050000000007,2023-12-23,14:41,Credit card,450.81000000000006,4.7619047619,22.5405,4.2
INV-00045,A,Yangon,Normal,Male,Fashion accessories,15.49,10,7.745,162.645,2023-07-03,19:32,Cash,154.9,4.7619047619,7.745,7.3
INV-01291,B,Mandalay,Member,male,Home and lifestyle,95.08,9,42.786,898.5060000000001,2023/06/01,13:03,Ewallet,855.72,4.7619047619,42.786,7.3
INV-00635,A,Yangon,Normal,M,Sports and travel,83.85,3,12.5775,264.1275,2023-03-23,14:12,Credit card,251.54999999999998,4.7619047619,12.5775,7.0
INV-01166,C,Naypyitaw,Member,Female,Health and beauty,83.18,7,29.113,611.373,2023-10-20,14:40,Ewallet,582.26,4.7619047619,29.113,9.5
INV-01145,A,Yangon,Normal,Male,Sports and travel,86.25,2,8.625,181.125,2023-01-02,13:51,Credit card,172.5,4.7619047619,8.625,5.6
INV-01143,B,Mandalay,Normal,Female,Electronic accessories,32.73,9,14.7285,309.2985,2023-09-17,19:08,Ewallet,294.57,4.7619047619,14.7285,6.0
INV-01188,A,Yangon,Normal,Male,Food and beverages,86.55,2,8.655,181.755,2023-09-27,17:50,Ewallet,173.1,4.7619047619,8.655,8.0
INV-00116,C,Naypyitaw,Member,,Sports and travel,71.62,7,25.067,526.407,2023-08-23,16:45,Credit card,501.34000000000003,4.7619047619,25.067,4.2
INV-01189,B,Mandalay,Normal,Male,Electronic accessories,76.68,1,3.834,80.51400000000001,2023-08-22,15:57,Cash,76.68,4.7619047619,3.834,4.0
INV-01104,C,Naypyitaw,Normal,Male,Sports and travel,59.26,8,23.704,497.784,2023-01-15,17:39,Ewallet,474.08,4.7619047619,23.704,4.5
INV-00983,A,Yangon,Normal,Male,Fashion accessories,28.63,2,2.863,60.123,2023-05-30,16:20,Cash,57.26,4.7619047619,2.863,5.1
INV-00991,C,Naypyitaw,Normal,,Health and beauty,81.01,7,28.3535,595.4235000000001,2023/02/06,19:12,Credit card,567.07,4.7619047619,28.3535,6.0
INV-01042,C,Naypyitaw,Normal,Female,Sports and travel,35.91,8,14.364,301.64399999999995,2023-10-23,13:33,Credit card,287.28,4.7619047619,14.364,6.4
INV-01204,B,Mandalay,Normal,M,Fashion accessories,95.86,5,23.965,503.265,2023-06-18,15:42,Cash,479.3,4.7619047619,23.965,5.9
INV-00680,C,Naypyitaw,Member,Female,Electronic accessories,52.66,1,2.633,55.293,2023-09-02,13:48,Cash,52.66,4.7619047619,2.633,7.1
INV-00079,B,Mandalay,Member,Female,Electronic accessories,53.44,6,16.032,336.67199999999997,2023-04-18,10:09,Cash,320.64,4.7619047619,16.032,8.3
INV-00299,B,Mandalay,Normal,F,Sports and travel,48.04,5,12.01,252.20999999999998,2023-01-31,15:04,Cash,240.2,4.7619047619,12.01,5.3
INV-01429,B,Mandalay,Member,male,,18.06,10,9.03,189.63,2023-05-22,19:27,Cash,180.6,4.7619047619,9.03,6.8
INV-00678,B,mandalay,Normal,Female,Fashion accessories,15.68,5,3.92,82.32000000000001,2023-10-22,18:51,Credit card,78.4,4.7619047619,3.92,5.4
INV-00599,A,Yangon,Normal,Female,Fashion accessories,88.42,3,13.263,278.52299999999997,2023-10-22,13:03,Cash,265.26,4.7619047619,13.263,6.0
